Frequency,NO_EXT,FLOW,FLOW_SEQ
0.001,10.463722999999998,10.4718248125,10.485285625
0.01,10.461349312500001,10.466779875,10.485183312499998
0.1,10.395031874999999,10.4079199375,10.418039125000002
1,9.939247125,9.9269374375,9.9598049375
5,8.773690249999998,8.934411625,8.7632804375
10,8.09799125,8.073882812499999,8.226615312500002
25,6.540766,6.4897851875,6.504505937499999
50,5.15162603125,5.208039843749999,5.17096275
100,4.1732585,4.1426511875,4.097911281250001
