Frequency,800000,400000,200000,100000,40000,20000,8000,4000,2000
0.001,10.463722999999998,10.460140562500001,10.4645016875,10.463076437500002,10.461618875,10.4726363125,10.476685875000003,10.4866308125,10.4805931875
0.01,10.461349312500001,10.448740562500001,10.4578489375,10.463903,10.463101375,10.4609285,10.463549999999998,10.4691705,10.467374187499999
0.1,10.395031874999999,10.395339625,10.40433225,10.3891206875,10.3767076875,10.368281625,10.415279437499999,10.410584062499998,10.39359825
1,9.939247125,9.9622094375,9.8951525625,9.95857025,9.916331,9.926475750000002,9.916443625,9.9375838125,9.915047750000001
5,8.773690249999998,8.7884351875,8.815482625,8.924130375,8.79739425,8.879254812499997,8.792822437500002,8.7148508125,8.79666275
10,8.09799125,8.182977312499998,8.115166874999998,8.1287865625,8.094721937500001,8.0759565625,8.12915925,8.036699062500002,8.0966839375
25,6.540766,6.529761437500001,6.608765125000001,6.5311696249999995,6.534599374999999,6.624023812500001,6.5547306249999995,6.544659999999999,6.511475625
50,5.15162603125,5.19896215625,5.160260781250001,5.15594809375,5.20951640625,5.112746156249999,5.20510053125,5.169846124999999,5.126367656249999
100,4.1732585,4.0907160312499995,4.050811625,4.09760228125,4.186845062500001,4.195893531249999,4.172095531249999,4.12244846875,4.155699687499999
