Frequency,INLINE,ENCAP,ENCAP_TUNSRC
0.001,9.722140749999998,9.7442293125,9.716232625
0.01,9.7285973125,9.730289687500001,9.7310555
0.1,9.705697937500002,9.698792812499999,9.68423775
1,9.3686205625,9.333666250000002,9.315593250000001
5,8.750801124999999,8.424963625,8.702635125
10,8.1846770625,7.697799875000001,8.226238375
25,7.370227250000001,6.3820455625,7.3369969374999995
50,6.4060080625,5.13253125,6.3517079375000005
100,4.923690218749999,3.63395371875,4.86251409375
