Frequency,0x00,0x80,0xC0
0.001,9.7419611875,9.729069437500002,9.7458935625
0.01,9.730038500000001,9.724358624999999,9.724682375
0.1,9.705615750000002,9.699980812500002,9.69707825
1,9.452107,9.368305375,9.415767375
5,8.557395375000002,8.670955562500001,8.535755125000001
10,8.209538249999998,8.0797986875,7.97875475
25,7.4134428125,7.206807062499999,7.190828999999999
50,6.3707123125,6.133787875,6.127129875
100,4.985684968749999,4.74094565625,4.6681693125
