Frequency,0x800000,0x400000,0x200000,0x100000,0x40000,0x20000,0x8000,0x4000,0x2000
0.001,9.7371055,9.741634125000001,9.740533375,9.739018125,9.716636125,9.736221125,9.7576394375,9.7482489375,9.7389009375
0.01,9.740083125000002,9.7277050625,9.7082145625,9.738855187499999,9.7274683125,9.7275829375,9.738658937499999,9.730155187500001,9.7477311875
0.1,9.685470937500002,9.71490975,9.671368187499999,9.691069875,9.6909890625,9.707610375,9.668364749999999,9.7026158125,9.679134000000001
1,9.38158725,9.3623193125,9.3746550625,9.385121,9.37823425,9.401198500000001,9.408086125,9.3264766875,9.391253250000002
5,8.5876474375,8.5639701875,8.548398375000001,8.6216396875,8.6078204375,8.535365562500001,8.7264349375,8.634154,8.615104499999998
10,8.133816375,8.2080768125,8.097150187500002,8.2062570625,8.1470704375,8.110041312499998,8.22686675,8.1842405625,8.134792
25,7.412420875,7.336419125000001,7.270029687500001,7.2059785625,7.308926875,7.3542320625,7.4299610625,7.3461589375,7.290962562500001
50,6.278757812499999,6.358072999999999,6.251011125,6.3304169375,6.2623645,6.448891000000001,6.3715818125,6.4110101875,6.379287562500001
100,4.99046365625,4.932495593750001,4.807835999999999,4.87676878125,4.970024562499999,4.9214371562500006,4.912744375000001,4.976284000000001,4.96620646875
