Frequency,800000,400000,200000,100000,40000,20000,8000,4000,2000
0.001,10.4175733125,10.439343500000001,10.425844999999999,10.439163437500001,10.4337361875,10.430884375000002,10.449603374999999,10.450409624999999,10.4595276875
0.01,10.4262215,10.4331049375,10.432387250000001,10.4377008125,10.430189749999998,10.429520499999999,10.4397130625,10.455095062499998,10.454409125000002
0.1,10.382400874999998,10.3824195,10.3546294375,10.392428875000002,10.411017937499999,10.403308875000002,10.412371937500001,10.411940812500001,10.405768749999998
1,10.051092,10.047797375,10.0681241875,10.094288375000001,10.077085375,10.0261521875,10.024625625,10.044527062499998,10.0540606875
5,9.1114695,9.244129,9.2047071875,9.145216625,9.1180904375,9.291566999999997,9.238515375000002,9.1882385625,9.262508375
10,8.797968625,8.603040125,8.573536625000001,8.680249812499998,8.735854875000001,8.5904816875,8.542264312499999,8.769385875,8.732830937500001
25,7.6438254375,7.806185999999999,7.5064589375,7.560773812500001,7.656154375,7.671757625000001,7.750479375,7.5934483125,7.665014812499999
50,6.5503215625,6.53704825,6.3444535,6.331171812500001,6.4907980625,6.51449725,6.416154750000001,6.45991025,6.444683875
100,4.9201302812500005,4.9425676562500005,4.758832343749999,4.80867971875,4.89807978125,4.837202187499999,4.93339528125,4.917240875,4.8525154375
