Frequency,NO_EXT,FLOW,FLOW_SEQ
0.001,10.4175733125,10.441372812500001,10.457066062500001
0.01,10.4262215,10.450096250000001,10.424460937500001
0.1,10.382400874999998,10.400528249999999,10.3970305625
1,10.051092,10.0075744375,10.0817985625
5,9.1114695,9.1741233125,9.119765374999998
10,8.797968625,8.7578858125,8.7016835625
25,7.6438254375,7.7864289375,7.6880039374999996
50,6.5503215625,6.3909293125,6.390730499999999
100,4.9201302812500005,4.88966428125,4.840498687499999
